epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6848,1.78624,3.70037,1.85461,0.45315,0.08964,0.09493,0.04919,2.07902,3.38326,2.2856,0.0700741,0.0033251,0.0033251
2,63.9756,1.69222,3.18102,1.80027,0.24736,0.34539,0.21664,0.08045,2.30776,5.82379,2.54025,0.0400675,0.00665184,0.00665184
3,93.2105,1.74611,2.78033,1.8049,0.20755,0.31888,0.18783,0.08135,2.1349,3.54529,2.26577,0.0100543,0.00997199,0.00997199
4,123.181,1.75859,2.57713,1.82116,0.27426,0.44265,0.33524,0.14999,1.98608,4.00066,2.18788,0.0099703,0.0099703,0.0099703
5,153.424,1.72043,2.39284,1.7938,0.68382,0.219,0.28249,0.12456,2.21373,2.58605,2.37146,0.0099604,0.0099604,0.0099604
6,184.331,1.70434,2.33666,1.77868,0.46931,0.33702,0.33047,0.14667,1.96605,2.39926,2.18603,0.0099505,0.0099505,0.0099505
7,214.555,1.67552,2.22751,1.76963,0.57443,0.19508,0.19208,0.08312,2.46017,3.74663,2.7269,0.0099406,0.0099406,0.0099406
8,245.108,1.6525,2.14547,1.74923,0.36764,0.45449,0.38685,0.16201,1.99725,2.59935,2.3095,0.0099307,0.0099307,0.0099307
9,275.82,1.63227,2.061,1.72101,0.37435,0.45425,0.37542,0.14672,2.1537,2.66622,2.39545,0.0099208,0.0099208,0.0099208
10,307.261,1.63374,2.00778,1.72904,0.38817,0.62928,0.5469,0.25854,1.69535,2.33871,1.91062,0.0099109,0.0099109,0.0099109
11,336.676,1.60665,1.95994,1.70825,0.34442,0.56427,0.47678,0.2065,1.81948,2.34566,2.07138,0.009901,0.009901,0.009901
12,366.083,1.59617,1.93764,1.71479,0.61174,0.4781,0.53124,0.2446,1.73516,1.84943,1.95549,0.0098911,0.0098911,0.0098911
13,395.291,1.57412,1.86886,1.67024,0.68731,0.48039,0.55311,0.25279,1.7013,1.78438,1.97671,0.0098812,0.0098812,0.0098812
14,427.308,1.55428,1.81782,1.67739,0.61966,0.56571,0.6149,0.2903,1.702,1.64763,1.9037,0.0098713,0.0098713,0.0098713
15,460.354,1.57052,1.81578,1.68022,0.45842,0.60536,0.5694,0.25793,1.73176,1.80633,1.97191,0.0098614,0.0098614,0.0098614
16,490.756,1.54208,1.77603,1.66619,0.78533,0.16496,0.24922,0.11154,2.56526,3.3649,2.91278,0.0098515,0.0098515,0.0098515
17,521.473,1.54242,1.76042,1.66484,0.53844,0.47192,0.48902,0.2213,1.85481,1.97043,2.02405,0.0098416,0.0098416,0.0098416
18,550.944,1.52363,1.73001,1.65348,0.5644,0.56006,0.55442,0.25297,1.8702,1.81073,2.08053,0.0098317,0.0098317,0.0098317
19,584.329,1.52665,1.71643,1.64388,0.63583,0.60591,0.65636,0.3214,1.67,1.60106,1.91922,0.0098218,0.0098218,0.0098218
20,614.492,1.50064,1.66101,1.61988,0.57023,0.57777,0.60374,0.26832,1.76319,1.66718,2.03067,0.0098119,0.0098119,0.0098119
21,643.686,1.52217,1.66105,1.64537,0.37416,0.47118,0.42263,0.18153,1.99106,2.32532,2.21146,0.009802,0.009802,0.009802
22,674.08,1.51418,1.66665,1.64238,0.56919,0.65118,0.65471,0.31653,1.63302,1.56658,1.86884,0.0097921,0.0097921,0.0097921
23,706.274,1.49572,1.6588,1.63282,0.55754,0.61023,0.61027,0.29665,1.69771,1.61792,1.95097,0.0097822,0.0097822,0.0097822
